epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2352,0.74542,2.07495,1.0467,1,0.82378,0.995,0.91697,0.36262,2.21128,0.81172,0.00026,0.00026,0.00026
2,74.4594,0.61523,1.02567,0.97591,0.99621,1,0.995,0.88366,0.52949,1.49503,0.88401,0.00052218,0.00052218,0.00052218
3,110.201,0.69241,1.08153,1.00678,0.97007,0.75398,0.97064,0.87208,0.47864,1.90011,0.88925,0.00076588,0.00076588,0.00076588
4,146.175,0.63404,1.05209,1.01334,0.97709,0.9921,0.99455,0.9034,0.4905,1.63046,0.88676,0.0009911,0.0009911,0.0009911
5,182.019,0.65823,0.95818,0.98364,0.99126,1,0.995,0.90336,0.44322,1.25041,0.85565,0.00119784,0.00119784,0.00119784
6,217.765,0.68399,0.98533,1.03855,1,0.9955,0.995,0.8354,0.56661,1.22733,0.90826,0.0013861,0.0013861,0.0013861
7,254.011,0.62325,0.93491,0.96815,0.97207,1,0.98977,0.87615,0.48674,1.03943,0.8695,0.00155588,0.00155588,0.00155588
8,289.889,0.69291,0.89853,1.00233,0.99835,1,0.995,0.87742,0.5999,0.96932,0.89894,0.001538,0.001538,0.001538
9,326.219,0.63956,0.83523,0.96888,0.99783,1,0.995,0.92231,0.40646,0.80133,0.82695,0.001472,0.001472,0.001472
10,363.188,0.63257,0.81803,0.96926,0.99836,1,0.995,0.91526,0.42733,0.75747,0.84173,0.001406,0.001406,0.001406
11,400.694,0.63803,0.79145,0.99502,0.99839,1,0.995,0.89155,0.47528,0.78096,0.85025,0.00134,0.00134,0.00134
12,437.915,0.60803,0.75141,0.96083,0.9987,1,0.995,0.92278,0.38734,0.68353,0.82737,0.001274,0.001274,0.001274
13,474.318,0.56745,0.72143,0.97304,0.99863,1,0.995,0.92613,0.37991,0.70141,0.81652,0.001208,0.001208,0.001208
14,511.047,0.58425,0.74812,0.97273,0.99858,1,0.995,0.93119,0.37417,0.64584,0.82158,0.001142,0.001142,0.001142
15,547.767,0.59178,0.7323,0.96485,0.99871,1,0.995,0.92023,0.37484,0.62001,0.81352,0.001076,0.001076,0.001076
16,584.3,0.52862,0.66149,0.93237,0.99555,1,0.995,0.95374,0.3248,0.61169,0.79986,0.00101,0.00101,0.00101
17,621.037,0.53161,0.63368,0.93706,0.99833,1,0.995,0.95667,0.32577,0.58327,0.80093,0.000944,0.000944,0.000944
18,657.806,0.53325,0.64002,0.94498,0.99853,1,0.995,0.93374,0.34629,0.57398,0.80844,0.000878,0.000878,0.000878
19,694.21,0.56253,0.61355,0.95768,0.99819,1,0.995,0.92498,0.35604,0.58062,0.81488,0.000812,0.000812,0.000812
20,730.762,0.52509,0.59823,0.92613,0.9986,1,0.995,0.93213,0.38286,0.58442,0.82367,0.000746,0.000746,0.000746
21,767.389,0.41233,0.83352,0.8263,0.99872,1,0.995,0.92555,0.34279,0.55942,0.80552,0.00068,0.00068,0.00068
22,803.773,0.36606,0.75009,0.83843,0.99877,1,0.995,0.94161,0.30184,0.59889,0.79332,0.000614,0.000614,0.000614
23,840.166,0.38382,0.76234,0.83598,0.9986,1,0.995,0.95526,0.30466,0.60764,0.7984,0.000548,0.000548,0.000548
24,875.984,0.38261,0.71465,0.84538,0.99872,1,0.995,0.95952,0.31878,0.54026,0.8008,0.000482,0.000482,0.000482
25,911.974,0.34996,0.67418,0.80835,0.9988,1,0.995,0.9484,0.29616,0.48379,0.79417,0.000416,0.000416,0.000416
26,948.249,0.31843,0.63722,0.79257,0.99878,1,0.995,0.96416,0.29785,0.47143,0.79258,0.00035,0.00035,0.00035
27,984.164,0.33086,0.6214,0.81065,0.99875,1,0.995,0.97534,0.29363,0.46245,0.79271,0.000284,0.000284,0.000284
28,1020.37,0.31817,0.61744,0.8237,0.99874,1,0.995,0.97187,0.2745,0.45147,0.78877,0.000218,0.000218,0.000218
29,1056.55,0.30489,0.60186,0.80518,0.99876,1,0.995,0.9752,0.26767,0.45522,0.78666,0.000152,0.000152,0.000152
30,1092.77,0.31279,0.60983,0.8143,0.99879,1,0.995,0.97485,0.26683,0.44751,0.78702,8.6e-05,8.6e-05,8.6e-05
